Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
6400,false,-468.763297,-158.383666,-164.858520,-145.521111,5.931259,13.651644,0.978989,0.055476
6500,true,-474.738120,-169.857433,-162.556455,-142.324231,5.919945,14.453730,0.240275,0.760875
6600,false,-475.324857,-168.855127,-164.642022,-141.827708,5.922085,14.045635,0.282264,0.000000
6700,true,-471.710909,-166.637630,-164.189224,-140.884055,5.883569,15.285918,0.224495,0.260145
6800,false,-476.502475,-169.681020,-165.688571,-141.132884,5.762917,11.816880,0.087887,0.000005
6900,false,-475.681119,-169.649814,-165.068315,-140.962990,5.761558,11.893166,0.914694,0.565295
7000,false,-473.774457,-169.998363,-162.085972,-141.690122,5.781487,12.301291,0.641458,0.000000
7100,true,-472.351502,-168.371733,-161.332401,-142.647368,5.792832,12.544643,0.674169,2.034178
7200,false,-473.210361,-167.774951,-163.118975,-142.316435,5.807207,13.020693,0.364853,0.000000
7300,false,-468.805224,-161.573764,-165.195518,-142.035943,5.884292,14.235805,0.838807,0.313810
7400,false,-472.006944,-166.088046,-163.794594,-142.124303,5.855205,13.945951,0.871701,0.055944
7500,false,-465.863734,-159.177290,-164.362457,-142.323988,5.897233,13.319115,0.765761,0.000948
7600,false,-469.599652,-161.313276,-164.230446,-144.055929,5.910667,14.119038,0.424261,0.000003
7700,true,-467.932751,-158.683006,-164.525558,-144.724187,5.952637,13.832245,0.073530,1.000000
7800,false,-471.035426,-162.009727,-164.932394,-144.093305,5.881871,13.029370,0.331707,0.000001
7900,true,-468.437293,-157.662565,-166.763013,-144.011715,5.926386,13.926222,0.573449,0.892179
8000,true,-477.573789,-166.260082,-167.295501,-144.018206,5.819844,13.271954,0.789821,1.000000
8100,false,-475.221752,-166.129559,-165.357667,-143.734526,5.814660,13.228940,0.392583,0.003034
8200,false,-473.174648,-165.652172,-164.140928,-143.381548,5.873247,13.774053,0.662088,0.000000
8300,true,-479.095605,-169.194503,-166.447892,-143.453210,5.705278,13.491658,0.788024,1.015782
8400,false,-479.496957,-169.807830,-166.356087,-143.333040,5.734825,13.728518,0.702199,0.000000
8500,false,-480.018671,-169.961934,-166.396516,-143.660221,5.750678,13.937400,0.152604,0.000000
8600,false,-474.554510,-164.707558,-166.452918,-143.394034,5.790443,14.488863,0.717965,0.000000
8700,false,-472.587221,-164.192430,-165.371721,-143.023070,5.821105,14.217645,0.712004,0.000000
8800,true,-472.072761,-163.378589,-165.552531,-143.141641,5.827910,14.205360,0.176629,0.211166
8900,false,-471.641257,-163.128373,-165.651546,-142.861338,5.742034,12.551203,0.413272,0.000000
