phi,U
-3.1060060391703654,-8.59711281459211
-3.070401971458418,-8.63817111796914
-3.0347979037464703,-8.722580021141189
-2.9991938360345225,-8.783855896643942
-2.963589768322575,-8.805824812903607
-2.9279857006106274,-8.86120833720818
-2.8923816328986796,-8.882946799288174
-2.856777565186732,-8.875287128108384
-2.8211734974747844,-8.851233902846035
-2.7855694297628366,-8.847503625923641
-2.7499653620508893,-8.809862805379057
-2.7143612943389415,-8.805674944038582
-2.6787572266269937,-8.78462153484075
-2.6431531589150463,-8.71915396346254
-2.6075490912030985,-8.690978417187905
-2.5719450234911507,-8.647519453091812
-2.5363409557792034,-8.625868208041894
-2.5007368880672556,-8.596928159435091
-2.465132820355308,-8.57828829077605
-2.4295287526433604,-8.579416534596369
-2.3939246849314126,-8.51699317141357
-2.358320617219465,-8.523175263093785
-2.3227165495075175,-8.515191188745565
-2.2871124817955697,-8.540714386457584
-2.251508414083622,-8.500250470685925
-2.215904346371674,-8.515391569469609
-2.1803002786597263,-8.506738733512378
-2.144696210947779,-8.533853632309345
-2.1090921432358316,-8.525756422076725
-2.0734880755238843,-8.483222671845084
-2.0378840078119365,-8.516392871245468
-2.0022799400999887,-8.499029220788566
-1.9666758723880406,-8.460834457746854
-1.931071804676093,-8.405814603432848
-1.8954677369641455,-8.382747094863314
-1.859863669252198,-8.330863613224745
-1.8242596015402506,-8.307705966549513
-1.7886555338283028,-8.209308411646937
-1.753051466116355,-8.16735198705607
-1.7174473984044072,-8.07775756373692
-1.6818433306924594,-8.023879992734878
-1.646239262980512,-7.938802248154481
-1.6106351952685645,-7.865955413933502
-1.575031127556617,-7.820840879907344
-1.539427059844669,-7.744136627627991
-1.5038229921327215,-7.679251425953058
-1.4682189244207737,-7.633853559681768
-1.4326148567088262,-7.535296702444088
-1.3970107889968786,-7.403061091090091
-1.3614067212849308,-7.388327859577107
-1.3258026535729832,-7.2868764117507
-1.2901985858610356,-7.2254814727822945
-1.2545945181490878,-7.089243155027514
-1.2189904504371403,-7.051855622955894
-1.1833863827251927,-7.014814351275545
-1.147782315013245,-6.967909201801884
-1.1121782473012976,-6.866933284461882
-1.0765741795893498,-6.85751406254539
-1.040970111877402,-6.892641641172089
-1.0053660441654544,-6.860663671448287
-0.9697619764535067,-6.860663671448287
-0.9341579087415591,-6.93537044601511
-0.8985538410296114,-6.92461239604856
-0.862949773317664,-6.834108738813838
-0.8273457056057162,-6.716594773520978
-0.7917416378937684,-6.666956792429207
-0.7561375701818208,-6.628041376179533
-0.7205335024698732,-6.608000625296087
-0.6849294347579256,-6.522092798170152
-0.6493253670459779,-6.566672429803241
-0.6137212993340303,-6.577861357721047
-0.5781172316220826,-6.495265555937008
-0.5425131639101349,-6.51025834052315
-0.5069090961981872,-6.587550014824796
-0.4713050284862396,-6.579251212010101
-0.43570096077429205,-6.769641976852503
-0.4000968930623444,-6.766191714660351
-0.36449282535039673,-6.744059186311348
-0.3288887576384491,-6.78105762593618
-0.2932846899265015,-6.826545223556594
-0.2576806222145538,-6.860663671448287
-0.22207655450260616,-6.841615476477592
-0.1864724867906585,-6.873163834212518
-0.15086841907871087,-6.852242569051878
-0.11526435136676322,-6.928537818164665
-0.07966028365481558,-6.947937068614969
-0.044056215942867925,-6.950814768442584
-0.00845214823092028,-6.99117688712121
0.027151919481027364,-7.042286171939743
0.06275598719297501,-7.148345743900068
0.09836005490492265,-7.21081845347222
0.1339641226168703,-7.215975002651466
0.16956819032881795,-7.275864600546533
0.20517225804076558,-7.309881485824786
0.24077632575271327,-7.396335293800808
0.27638039346466087,-7.43307534889858
0.31198446117660855,-7.523481312573497
0.3475885288885562,-7.616283561580385
0.3831925966005039,-7.656810091480378
0.41879666431245144,-7.732369222284388
0.4544007320243991,-7.845807502637805
0.49000479973634675,-7.933438387627489
0.5256088674482944,-8.029107054619736
0.5612129351602421,-8.131236549696116
0.5968170028721898,-8.302761580704049
0.6324210705841373,-8.446126742982377
0.668025138296085,-8.680671660408713
0.7036292060080327,-8.92930284224307
0.7392332737199802,-9.247732491193243
0.774837341431928,-9.608377964255553
0.8104414091438757,-9.946355452763305
0.8460454768558232,-10.237277623937402
0.8816495445677709,-10.363630221934988
0.9172536122797186,-10.303638565820524
0.9528576799916662,-10.085600754292344
0.9884617477036137,-9.777924329560784
1.0240658154155615,-9.504203303503044
1.0596698831275093,-9.242420265439597
1.0952739508394567,-9.017119634313229
1.1308780185514045,-8.86304982791909
1.166482086263352,-8.632662441222351
1.2020861539752996,-8.493105395887147
1.2376902216872474,-8.351138607086154
1.273294289399195,-8.205491613120236
1.3088983571111426,-8.14002395246292
1.3445024248230903,-7.972466015974565
1.380106492535038,-7.931644021454311
1.4157105602469855,-7.790696031174738
1.4513146279589333,-7.697121317282625
1.4869186956708809,-7.753194269884341
1.5225227633828284,-7.676009932028887
1.5581268310947762,-7.671826797878781
1.5937308988067238,-7.5883236773352225
1.6293349665186712,-7.560601162768557
1.664939034230619,-7.553810852008231
1.7005431019425667,-7.554858521040676
1.7361471696545148,-7.574045005372199
1.7717512373664623,-7.557472901614746
1.8073553050784097,-7.541152455136308
1.8429593727903573,-7.577633832602728
1.8785634405023048,-7.6128310304073565
1.9141675082142524,-7.60688453121963
1.9497715759262002,-7.609862200913554
1.9853756436381482,-7.617267813628347
2.020979711350096,-7.569411792450712
2.056583779062043,-7.569411792450712
2.092187846773991,-7.56734567601324
2.1277919144859383,-7.549082710812286
2.163395982197886,-7.565793282428515
2.199000049909834,-7.556427969440253
2.2346041176217817,-7.505492274737424
