r [Å],U
12.206,-0.09404874997384126
12.228,-0.0930428053019596
12.25,-0.09204934893778353
12.272,-0.09106820491348983
12.294,-0.0900992000248032
12.316,-0.08914216378338455
12.338000000000001,-0.08819692837010541
12.36,-0.08726332858919107
12.382,-0.0863412018232157
12.404,-0.08543038798893261
12.426,-0.08453072949392203
12.448,-0.08364207119404199
12.47,-0.08276426035166498
12.492,-0.08189714659468604
12.514,-0.08104058187628611
12.536,-0.08019442043543658
12.558,-0.07935851875813013
12.58,-0.07853273553932379
12.602,-0.07771693164557958
12.624,-0.0769109700783905
12.646,-0.0761147159381767
12.668,-0.07532803638894028
12.69,-0.07455080062356458
12.712,-0.0737828798297468
12.734,-0.07302414715654995
12.756,-0.07227447768156368
12.778,-0.0715337483786609
12.8,-0.07080183808633929
12.822,-0.07007862747663626
12.844000000000001,-0.06936399902460606
12.866,-0.06865783697834874
12.888,-0.06796002732957855
12.91,-0.06727045778472457
12.932,-0.06658901773654935
12.954,-0.06591559823627914
12.975999999999999,-0.06525009196623342
12.998000000000001,-0.06459239321294513
13.02,-0.0639423978407627
13.042,-0.06330000326592253
13.064,-0.0626651084310863
13.086,-0.06203761378033064
13.108,-0.06141742123458278
13.13,-0.06080443416749315
13.152000000000001,-0.06019855738173603
13.174,-0.059599697085730985
13.196,-0.05900776087077595
13.218,-0.05842265768858565
13.24,-0.05784429782922596
13.262,-0.057272592899438035
13.284,-0.05670745580134421
13.306000000000001,-0.0561488007115283
13.328,-0.05559654306048374
13.35,-0.055050599512422194
13.372,-0.054510887945436196
13.394,-0.053977327432008636
13.416,-0.05344983821986307
13.438,-0.05292834171314805
13.46,-0.052412760453949714
13.482,-0.05190301810412598
13.504,-0.051399039427456224
13.526,-0.05090075027210145
13.548,-0.05040807755336796
13.57,-0.04992094923676975
13.592,-0.04943929432138357
13.614,-0.048963042823491454
13.636,-0.04849212576050521
13.658,-0.048026475135167765
13.68,-0.04756602392002632
13.702,-0.04711070604217181
13.724,-0.046660456368240275
13.746,-0.046215210689671236
13.768,-0.045774905708217864
13.79,-0.04533947902170489
13.812,-0.044908869110029254
13.834,-0.04448301532139946
13.856,-0.04406185785880866
13.878,-0.04364533776673786
13.9,-0.043233396918084505
13.922,-0.04282597800131251
13.943999999999999,-0.04242302450781978
13.966,-0.04202448071951902
13.988,-0.04163029169662837
14.01,-0.04124040326566738
14.032,-0.04085476200765535
14.054,-0.04047331524650759
14.076,-0.04009601103762677
14.098,-0.03972279815668531
14.120000000000001,-0.039353626088595446
14.142,-0.03898844501666372
14.164,-0.03862720581192634
14.186,-0.03826986002266272
14.208,-0.03791635986408291
14.23,-0.037566658208187116
14.252,-0.03722070857379294
14.274000000000001,-0.03687846511672857
14.296,-0.036539882620187654
14.318,-0.03620491648524422
14.34,-0.035873522721523915
14.362,-0.035545657938028996
14.384,-0.035221279334114675
14.406,-0.034900344690613455
14.428,-0.03458281236110553
14.45,-0.03426864126333228
14.472,-0.03395779087075022
14.494,-0.03365022120422331
14.516,-0.033345892823850816
14.538,-0.03304476682092851
14.56,-0.03274680481004065
14.582,-0.03245196892128095
14.604,-0.032160221792599614
14.626,-0.03187152656227453
14.648,-0.03158584686150461
14.67,-0.031303146807122956
14.692,-0.031023390994427497
14.714,-0.030746544490127606
14.736,-0.030472572825404214
14.758,-0.030201441989081715
14.78,-0.029933118420909448
14.802,-0.029667569004951065
14.824,-0.029404761063080077
14.846,-0.029144662348579056
14.868,-0.028887241039841582
14.89,-0.02863246573417439
14.912,-0.028380305441698686
14.934,-0.028130729579348177
14.956,-0.027883707964962666
14.978,-0.027639210811475717
15.0,-0.027397208721193878
