Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
6400,false,-596.291714,-287.175909,-170.578329,-138.537476,5.805355,8.823883,0.606878,0.577858
6500,false,-601.347261,-290.734773,-171.169892,-139.442596,5.768633,8.800950,0.279131,0.000016
6600,false,-597.914847,-289.083243,-168.561624,-140.269980,5.771139,9.618707,0.395348,0.000241
6700,false,-594.608464,-284.562684,-170.588413,-139.457366,5.817201,9.697619,0.360665,0.000000
6800,false,-592.878122,-283.227428,-168.903290,-140.747404,5.890734,10.592539,0.782115,0.000201
6900,false,-591.879667,-282.145145,-168.937546,-140.796977,5.846541,11.036451,0.626492,0.000000
7000,false,-594.149487,-283.519539,-169.882221,-140.747727,5.778128,10.316243,0.283548,0.000054
7100,false,-594.686560,-286.467733,-167.807588,-140.411239,5.699877,9.217671,0.733744,0.705922
7200,false,-602.117111,-292.699582,-169.320093,-140.097436,5.623832,8.802115,0.269771,0.000000
7300,false,-603.222637,-295.066866,-168.517293,-139.638478,5.620083,8.491352,0.471064,0.000014
7400,false,-604.393107,-295.523141,-168.479682,-140.390284,5.631931,8.578321,0.380524,0.003744
7500,false,-597.781265,-288.644795,-168.580886,-140.555584,5.696299,8.464424,0.082671,0.000000
7600,false,-601.835026,-290.784590,-170.401626,-140.648810,5.654216,8.689957,0.132436,0.037612
7700,false,-604.245155,-293.565198,-169.682547,-140.997410,5.708391,8.995543,0.533832,0.000000
7800,false,-602.726965,-291.805447,-169.921787,-140.999730,5.705129,9.227579,0.217696,0.000000
7900,false,-603.544629,-292.202244,-170.260199,-141.082187,5.695156,9.084328,0.217743,0.000000
8000,false,-604.052961,-292.622452,-169.696045,-141.734465,5.698915,9.394203,0.994138,0.000000
8100,false,-605.404507,-294.852741,-169.492295,-141.059472,5.713855,9.115151,0.603811,0.000000
8200,false,-603.205909,-291.395314,-170.183336,-141.627258,5.728028,9.574582,0.666728,0.000000
8300,false,-604.841318,-293.529519,-169.553661,-141.758138,5.678618,9.211139,0.327346,0.267806
8400,false,-605.659618,-295.306176,-169.704920,-140.648522,5.698063,9.124869,0.660457,0.000000
8500,true,-605.060054,-295.865547,-168.908581,-140.285926,5.676839,8.840160,0.220658,0.824931
8600,false,-601.017134,-289.882077,-169.863537,-141.271520,5.707078,9.108355,0.684644,0.000000
8700,false,-604.811300,-292.487790,-171.581834,-140.741676,5.746487,9.497377,0.785564,0.000000
8800,false,-609.202295,-298.128089,-170.719271,-140.354935,5.704846,9.461589,0.988642,0.000000
8900,false,-610.116686,-299.088985,-170.650099,-140.377603,5.664776,9.244130,0.607293,0.000547
9000,false,-601.515280,-291.389734,-169.939215,-140.186330,5.777838,9.627265,0.308949,0.000000
9100,false,-599.947550,-288.935975,-169.869706,-141.141869,5.801363,9.200106,0.209806,0.017787
9200,false,-599.344433,-288.396329,-169.646173,-141.301931,5.772939,10.099014,0.007730,0.000000
9300,false,-603.083226,-294.115145,-168.171096,-140.796986,5.675453,8.195839,0.852516,0.001277
9400,false,-601.182186,-291.787949,-168.053076,-141.341161,5.689741,8.750771,0.902742,0.289516
9500,false,-601.945704,-292.247875,-167.996528,-141.701301,5.706454,8.694414,0.768417,0.000000
9600,false,-600.335825,-290.517502,-169.012367,-140.805956,5.599023,8.488608,0.288663,0.000000
9700,false,-600.774377,-291.983174,-168.134396,-140.656807,5.621412,8.890795,0.343621,0.000164
9800,false,-600.153190,-290.781135,-168.391345,-140.980709,5.659014,8.935473,0.649835,0.001677
9900,false,-601.602423,-291.291629,-168.642408,-141.668386,5.700052,9.448812,0.738297,0.008860
10000,false,-601.380588,-291.236753,-168.592173,-141.551662,5.746430,9.372513,0.564404,0.000000
10100,false,-601.632767,-292.376620,-167.166646,-142.089501,5.685946,9.158735,0.449018,0.000000
10200,false,-606.824772,-296.899931,-168.282676,-141.642165,5.685398,8.262870,0.299872,0.000000
10300,false,-610.403466,-300.832398,-168.497276,-141.073792,5.650115,8.931653,0.312517,0.000000
10400,false,-604.324221,-294.697156,-167.708712,-141.918353,5.669958,8.964081,0.600054,0.000000
10500,false,-607.796673,-298.047748,-167.533375,-142.215550,5.641543,8.986176,0.450846,0.187805
10600,false,-610.715151,-300.094427,-168.334335,-142.286389,5.634290,9.337345,0.163442,0.000000
10700,true,-606.307698,-294.295982,-169.017262,-142.994454,5.650568,9.133581,0.657939,0.782484
10800,false,-604.175719,-294.016113,-168.006744,-142.152862,5.609441,9.171060,0.312973,0.061288
10900,false,-603.871091,-293.115035,-168.190078,-142.565978,5.639398,9.766476,0.727591,0.001500
11000,true,-599.718040,-290.212979,-168.242400,-141.262661,5.606805,8.732241,0.357202,1.000000
11100,true,-601.525689,-291.179686,-167.884187,-142.461817,5.550586,9.289496,0.222830,0.336448
11200,false,-597.975036,-289.040342,-167.255891,-141.678803,5.635015,9.109014,0.142890,0.000000
11300,true,-600.584863,-293.734845,-164.760100,-142.089918,5.642539,8.170605,0.186706,1.000000
11400,false,-602.026416,-293.273672,-165.981530,-142.771214,5.712163,9.030512,0.298987,0.001696
11500,true,-601.533766,-291.873852,-166.049332,-143.610582,5.646132,8.861686,0.294481,1.000000
11600,true,-596.094189,-285.955071,-166.865218,-143.273900,5.682609,9.391111,0.672028,2.046341
11700,false,-595.528713,-284.755369,-167.429374,-143.343970,5.673003,8.615540,0.947226,0.000000
11800,false,-597.820393,-287.572743,-166.845819,-143.401831,5.662526,8.791391,0.452933,0.000000
11900,true,-599.932421,-291.555788,-165.689771,-142.686861,5.679226,10.838135,0.806824,4.674209
12000,true,-600.365117,-292.427473,-165.355451,-142.582193,5.704697,11.131172,0.495215,1.000000
