Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
23500,true,-465.812772,-156.311414,-166.010174,-143.491184,5.932389,9.358581,0.518671,1.000000
23600,false,-464.290057,-155.975488,-164.945493,-143.369076,5.932253,8.888587,0.848807,0.000000
23700,false,-467.640457,-159.783494,-164.702846,-143.154116,5.926507,8.379653,0.350485,0.000000
23800,false,-469.638135,-160.916250,-165.685122,-143.036762,5.907442,8.914693,0.804059,0.000522
23900,false,-468.945240,-160.062593,-165.490893,-143.391754,5.948074,9.346538,0.753425,0.000001
24000,false,-470.875675,-162.483876,-165.302006,-143.089794,5.898470,9.179951,0.823184,0.011284
24100,false,-472.922709,-163.478186,-165.828685,-143.615839,5.940891,8.975529,0.551255,0.000000
24200,false,-472.565232,-163.433664,-165.453159,-143.678409,5.862977,9.001893,0.576768,0.000000
24300,false,-472.705808,-163.801264,-165.649931,-143.254613,5.888448,8.576888,0.273093,0.015103
24400,false,-470.891374,-162.739938,-165.171668,-142.979768,5.925560,8.504071,0.165836,0.000111
24500,false,-471.340948,-163.096205,-165.220298,-143.024446,5.962444,8.987706,0.725653,0.000000
24600,true,-470.110201,-162.396453,-164.066706,-143.647042,5.988788,9.643547,0.375728,1.000000
24700,false,-474.027919,-164.304086,-165.374754,-144.349079,5.927718,8.854936,0.803755,0.000000
24800,false,-471.521314,-163.611927,-163.949994,-143.959394,5.932274,9.213705,0.918261,0.000000
24900,false,-473.269998,-165.585793,-163.614517,-144.069688,5.874771,9.122744,0.039129,0.000000
25000,false,-469.579431,-161.765282,-165.037193,-142.776956,5.932942,9.118504,0.162158,0.000012
25100,false,-471.182063,-163.372621,-164.868895,-142.940547,5.946909,8.797315,0.387490,0.000000
25200,false,-470.628232,-161.999748,-164.520808,-144.107676,5.972489,8.399319,0.851776,0.000004
25300,false,-472.280001,-163.935189,-164.596738,-143.748074,5.963782,8.012106,0.753898,0.000000
25400,true,-471.538109,-163.926719,-164.422384,-143.189006,5.972991,7.849834,0.314103,2.092227
25500,false,-469.308242,-160.807749,-163.727376,-144.773117,6.030030,8.361679,0.756399,0.000015
25600,false,-470.127052,-161.405088,-163.322889,-145.399075,6.018839,8.082621,0.654039,0.001703
25700,true,-471.618685,-162.502488,-164.957720,-144.158477,5.981505,8.126123,0.227952,1.000000
25800,false,-468.689718,-160.047580,-163.448937,-145.193201,6.015888,8.090532,0.437962,0.000000
25900,false,-471.904964,-164.522877,-162.576422,-144.805664,5.960184,8.162775,0.956628,0.000000
26000,false,-470.554211,-162.165560,-164.959853,-143.428798,5.909666,7.683533,0.365569,0.034280
26100,false,-471.084022,-162.968196,-164.906431,-143.209395,5.960840,8.275688,0.164095,0.000000
26200,false,-469.668881,-162.411764,-164.681400,-142.575717,5.956131,8.298516,0.430006,0.274886
26300,true,-465.426850,-160.395331,-164.719728,-140.311792,5.963215,8.590835,0.222390,1.240304
26400,false,-464.541285,-160.943136,-163.825895,-139.772254,5.954312,8.364910,0.066272,0.000000
26500,true,-467.101152,-160.692335,-164.497099,-141.911717,5.935674,7.672484,0.108958,1.000000
26600,false,-464.737278,-159.231176,-163.566687,-141.939415,5.945280,8.079876,0.787908,0.000000
26700,false,-466.721850,-161.236722,-163.667716,-141.817412,5.917671,7.789535,0.099991,0.000000
26800,false,-466.847617,-161.488206,-163.358808,-142.000603,5.902534,8.002546,0.811966,0.000000
26900,false,-464.861319,-158.847917,-162.845316,-143.168086,5.931296,7.904182,0.202027,0.000000
27000,false,-465.664931,-159.885390,-162.898874,-142.880667,5.914355,8.088938,0.172260,0.000082
27100,false,-465.265876,-158.337430,-162.719081,-144.209365,5.920789,8.333504,0.821852,0.000000
27200,true,-462.132015,-157.500266,-162.014688,-142.617061,5.938445,8.447818,0.820900,0.852750
27300,true,-463.492304,-159.292200,-162.363231,-141.836873,5.924734,8.594268,0.174664,2.730391
27400,true,-463.357504,-158.761105,-163.263937,-141.332463,5.947702,8.861979,0.218101,0.598093
27500,true,-459.036835,-156.018702,-162.874619,-140.143514,5.968849,9.547383,0.930533,1.000000
27600,false,-458.107670,-155.150719,-163.601685,-139.355266,5.915658,8.893742,0.910282,0.000000
27700,false,-456.489772,-152.417791,-163.976733,-140.095247,5.918005,8.529318,0.599132,0.000000
27800,false,-458.184963,-152.179461,-165.887255,-140.118248,5.972967,8.915383,0.596438,0.000027
27900,true,-455.216065,-152.998663,-161.299850,-140.917552,5.938193,10.387423,0.152755,1.000000
28000,false,-459.116394,-157.707051,-160.129893,-141.279450,5.896286,10.305238,0.182800,0.000428
28100,false,-465.611366,-162.566038,-161.624419,-141.420910,5.883230,10.023669,0.387617,0.000000
28200,false,-464.526497,-160.607926,-163.431761,-140.486810,5.926103,9.568237,0.325771,0.001348
28300,false,-459.306967,-154.539712,-164.709489,-140.057767,6.017655,9.844288,0.523427,0.000000
28400,false,-466.912614,-160.216232,-165.725760,-140.970621,5.989469,9.271590,0.963147,0.000000
28500,false,-467.602470,-161.397511,-165.247106,-140.957853,5.978398,9.248341,0.541254,0.000000
28600,false,-470.194805,-164.340939,-163.677363,-142.176502,5.951992,8.305499,0.333615,0.000000
28700,false,-471.185689,-165.021822,-163.885617,-142.278251,5.917598,8.463282,0.759665,0.304374
28800,false,-469.225689,-163.691026,-163.941841,-141.592822,5.827723,9.170726,0.984540,0.000000
28900,true,-467.273416,-161.590823,-162.579964,-143.102629,5.885644,8.795672,0.149148,0.405093
29000,false,-468.846436,-165.298681,-163.624381,-139.923374,5.885112,9.229140,0.268023,0.000000
29100,false,-468.149712,-164.492005,-162.990711,-140.666996,5.911095,9.341025,0.884817,0.198191
29200,false,-472.578660,-164.476432,-164.999757,-143.102472,5.905176,8.979207,0.825250,0.000001
29300,false,-475.521772,-167.696242,-164.923928,-142.901602,5.868918,8.381324,0.637397,0.094752
29400,false,-475.853931,-167.401933,-165.277879,-143.174119,5.861589,8.357003,0.559114,0.000016
29500,true,-473.961448,-164.706222,-165.106465,-144.148761,5.881489,8.624234,0.102488,1.000000
29600,false,-473.501590,-164.726653,-164.439263,-144.335673,5.833573,8.598240,0.595122,0.000000
29700,true,-472.989259,-165.232954,-164.396005,-143.360300,5.827711,8.257943,0.268117,0.312591
29800,false,-472.742689,-161.953059,-165.872342,-144.917287,5.907771,8.035086,0.730589,0.708942
29900,false,-472.764175,-162.654121,-165.447797,-144.662257,5.946697,8.150466,0.920563,0.000000
30000,false,-472.143994,-161.813689,-166.698908,-143.631397,5.924899,8.726989,0.872098,0.000000
30100,false,-469.995036,-159.181423,-165.857455,-144.956157,5.947670,8.371164,0.888468,0.000000
30200,false,-468.960444,-158.993441,-164.830437,-145.136567,5.948890,8.528394,0.961260,0.000000
30300,true,-471.292443,-161.989980,-165.059112,-144.243351,5.881231,9.178746,0.525228,0.804683
30400,false,-469.709183,-157.721510,-169.094440,-142.893234,5.920935,9.549938,0.888740,0.000000
30500,false,-470.685056,-158.365072,-167.674674,-144.645310,5.958786,10.411909,0.929670,0.000000
30600,false,-477.543282,-164.876416,-167.885904,-144.780961,5.884535,9.048877,0.896573,0.000000
30700,true,-477.176314,-163.186596,-169.702107,-144.287611,5.853285,9.643568,0.404997,1.010292
30800,false,-477.772902,-164.399332,-168.626865,-144.746705,5.844744,9.365754,0.968757,0.000000
30900,false,-474.998135,-162.555658,-169.058411,-143.384066,5.852500,9.790005,0.656033,0.000000
31000,false,-474.611663,-161.834009,-169.911923,-142.865731,5.932221,9.269479,0.710129,0.005267
31100,true,-478.946503,-165.790390,-169.308536,-143.847577,5.855009,9.651310,0.224732,1.000000
31200,false,-478.726709,-164.433774,-169.585931,-144.707004,5.824337,9.875077,0.213523,0.157672
31300,false,-480.587594,-166.372435,-169.748761,-144.466398,5.869499,10.017048,0.663979,0.077094
31400,false,-480.962272,-165.048810,-170.947373,-144.966088,5.805584,9.802499,0.415209,0.000352
31500,false,-480.680245,-164.641881,-170.629819,-145.408544,5.859725,10.003155,0.949669,0.015010
31600,false,-476.894458,-161.704940,-169.481964,-145.707554,5.896833,9.364078,0.438607,0.001086
31700,false,-479.348054,-163.583612,-169.908580,-145.855862,5.905721,9.328636,0.631065,0.000000
31800,false,-479.782254,-161.325212,-171.363514,-147.093528,5.916622,8.756360,0.426296,0.000000
31900,true,-480.437872,-163.540926,-170.129819,-146.767127,5.786764,9.348577,0.219440,1.000000
32000,false,-483.344895,-165.930869,-169.972878,-147.441147,5.887204,9.760078,0.360290,0.000000
32100,true,-480.501565,-165.390338,-169.283770,-145.827457,5.884049,9.595118,0.315003,0.980979
32200,false,-481.098779,-165.380030,-169.307837,-146.410912,5.797320,9.489877,0.370602,0.000000
32300,true,-479.174948,-163.941157,-168.912573,-146.321217,5.877854,10.242261,0.972098,1.000000
